BGG76	chapters/theory/chiral_modules.tex:1589;chapters/theory/chiral_modules.tex:1612;chapters/theory/chiral_modules.tex:2779;chapters/theory/chiral_modules.tex:3040;chapters/examples/bar_complex_tables.tex:2201;chapters/examples/bar_complex_tables.tex:4258	none
BH86	chapters/theory/higher_genus_modular_koszul.tex:3179;chapters/theory/higher_genus_modular_koszul.tex:3293	none
BK01	chapters/theory/derived_langlands.tex:1261;chapters/connections/genus_complete.tex:368	none
BK1986	chapters/connections/arithmetic_shadows.tex:10035	none
BK81	chapters/theory/chiral_modules.tex:1793;chapters/theory/chiral_modules.tex:4270;chapters/theory/chiral_koszul_pairs.tex:5983	none
BK86	chapters/connections/bv_brst.tex:1551;chapters/connections/genus_complete.tex:1512;chapters/examples/free_fields.tex:4977;chapters/examples/free_fields.tex:5191	none
BL15	chapters/theory/chiral_hochschild_koszul.tex:1650;chapters/theory/chiral_hochschild_koszul.tex:3132	none
BL24	chapters/connections/concordance.tex:730	none
BLPW16	chapters/examples/yangians_computations.tex:134	none
BLZ99	chapters/connections/arithmetic_shadows.tex:4282;chapters/connections/arithmetic_shadows.tex:4305	none
BPZ84	chapters/theory/poincare_duality_quantum.tex:1099;chapters/examples/minimal_model_examples.tex:231;chapters/examples/minimal_model_fusion.tex:257;chapters/examples/minimal_model_fusion.tex:456;chapters/examples/free_fields.tex:5145	BPZ
BRvR14-6d	chapters/connections/frontier_modular_holography_platonic.tex:4952;chapters/connections/frontier_modular_holography_platonic.tex:5042	none
BT15	chapters/connections/frontier_modular_holography_platonic.tex:5134	none
BTZ92	chapters/connections/entanglement_modular_koszul.tex:704	none
BV85	chapters/theory/chiral_modules.tex:2149;chapters/theory/koszul_pair_structure.tex:2689;chapters/examples/w_algebras.tex:479;chapters/examples/w_algebras_deep.tex:2100	none
BW83	chapters/theory/algebraic_foundations.tex:1461;chapters/theory/algebraic_foundations.tex:1738;chapters/theory/poincare_duality_quantum.tex:1181	none
